stock_id,SEP_2023,JUNE_2023,MARCH_2023,DEC_2022,SEP_2022
AFE01,0.77,1.17,20.36,1.04,0.7
AKS01,27.96,30.32,32.32,27.66,28.69
AA14,47.2,58.97,71.62,79.03,86.11
AKC01,29.2,30.48,28.73,29.32,30.72
AME02,19.66,18.65,14.8,14.89,20.66
ATL,5.5,3.39,11.99,4.35,7.27
PC18,0.01,0.01,0.01,0.01,0.01
AES01,21.24,18.3,19.71,26.88,26.52
AT01,5.33,4.52,5.17,5.14,5.1
AI36,9.02,44.71,55.67,40.56,52.68
ADP,57.83,50.96,158.18,62.47,76.26
KS18,97.08,78.67,111.89,68.5,100.01
AI79,14.0,15.52,16.06,13.68,14.1
AD,577.54,591.63,696.41,625.53,624.83
AI45,1450.0,1404.08,1640.0,1634.74,1685.91
ADE,24.81,10.37,49.92,47.52,54.64
AE19,95.0,91.56,91.62,96.46,99.75
UF01,1.37,1.14,1.15,1.09,0.65
AF17,496.66,466.81,449.5,411.26,394.75
ABC9,134.14,9.43,109.81,7.95,92.98
ABM01,96.37,78.45,65.91,66.88,68.2
ABN01,1420.13,1178.23,1243.22,1178.59,1188.57
AO04,17.2,23.72,14.85,17.68,22.13
MST03,11.56,9.01,4.88,14.53,6.14
ABB,2769.19,2491.35,2395.94,2426.91,2100.27
AI51,1494.14,1479.0,1343.08,1326.48,1379.48
ABC02,51.93,58.01,50.04,46.6,34.74
ABC,46.13,36.21,37.0,34.81,33.99
ABG01,7.19,4.54,2.32,2.35,1.95
ATC01,0.14,0.14,0.13,0.13,0.14
ACS04,3.03,6.6,2.34,0.88,2.04
ALF03,6.99,5.23,5.16,22.35,13.0
AC22,1.97,5.37,5.8,4.59,1.32
AF32,0.35,0.11,0.06,0.17,0.06
ABM02,32.07,24.9,23.07,22.44,17.38
ABM,19.95,17.41,15.8,16.82,17.03
ABS,329.18,305.65,291.85,308.74,305.63
ACC06,4434.67,5201.11,4790.77,4536.97,3910.49
EM01,0.42,0.36,0.5,0.75,0.13
AT17,38.78,36.32,49.02,40.89,34.22
KAL,113.13,106.28,103.88,98.8,102.64
AT19,0.23,0.26,0.53,1.12,1.13
AS26,206.07,141.53,199.29,203.19,228.69
ATL03,61.02,40.97,73.21,72.36,81.09
AIS,1.88,1.57,2.21,1.25,2.47
ASE02,1.98,1.9,1.95,2.13,2.24
AS23,1.98,1.9,1.95,2.13,2.24
ACG,124.09,150.98,135.1,86.1,139.46
ACI14,0.81,0.91,0.85,0.91,0.86
AK,56.03,49.85,52.98,47.9,63.29
AR9,2.45,1.48,20.11,4.08,0.91
ACE3,672.31,650.29,612.79,555.3,491.33
AFS01,0.79,0.25,0.41,0.77,1.05
ACC,76.86,44.65,43.91,47.4,75.1
AMF01,2.26,1.81,0.84,3.81,2.43
AC01,4.93,5.19,15.94,3.91,4.21
AT22,202.23,14.44,158.41,271.14,175.15
AE13,9313.0,11293.12,12727.42,12142.15,22136.67
ADANI54145,1917.0,691.0,1632.0,918.0,2912.0
MPS,1529.79,1426.61,1383.82,1378.24,1220.58
AP11,10336.98,8510.88,9506.53,7635.49,72.76
ADG01,1094.9,1055.58,1114.62,1105.56,1115.5
AW,11719.72,12378.83,13121.89,14713.94,13409.92
APP01,3.9,3.83,4.16,3.15,5.11
KC07,48.1,44.24,34.52,38.26,36.51
ACS06,0.42,0.47,0.33,0.04,0.05
AP12,40.37,47.32,46.89,52.74,50.62
AF30,97.34,84.59,98.22,99.77,83.19
ACS05,-0.02,0.03,0.03,0.03,0.03
AI71,0.6,1.32,1.32,0.24,0.27
ABL02,0.11,0.16,0.19,0.19,0.18
AER,0.26,0.26,0.25,0.26,0.25
AAC03,40.18,34.49,28.54,0.24,0.1
ABC08,297.13,281.88,263.87,263.77,275.32
PFR,2995.28,2987.15,2651.29,3358.86,2952.76
AF,7.12,7.58,8.09,8.77,6.55
AI06,17.95,13.35,15.67,13.72,8.63
AS01,15.65,16.21,15.65,16.69,18.56
AV,313.13,641.23,306.27,317.85,259.6
AF22,52.63,48.57,55.58,52.93,50.53
AM01,1.03,2.6,1.75,1.34,1.35
AW01,225.96,189.63,235.48,198.53,184.87
CC22,1.61,1.21,1.66,1.33,1.37
ADS,7.23,3.22,5.32,3.67,2.3
AMT,5.02,4.41,3.3,3.07,4.37
AM02,1.6,1.72,2.94,1.97,2.45
AP02,8.19,8.21,7.97,10.01,9.28
AS08,0.25,0.29,1.82,17.34,7.06
AET,96.58,85.35,82.56,79.68,77.18
AMD,0.41,0.5,0.45,0.23,0.83
AHR,17.25,23.32,30.44,29.0,16.33
AI39,7.94,11.99,20.77,16.33,8.19
AIL04,13.79,4.47,2.15,10.75,227.68
