stock_id,mar_2023,mar_2022,mar_2021,mar_2020,mar_2019
I07,123.09,64.32,61.78,63.62,54.89
AFE01,24.18,23.92,18.69,54.01,32.2
AKS01,116.43,72.65,48,63.58,60.14
AA14,330.6,310.36,145.18,121.47,140.99
AKC01,115.08,86.31,72.17,63.25,84.73
AME02,69.59,136.01,187.85,385.23,507.33
ATL,23,14.4,11.02,14.16,10.34
PC18,0.05,0.05,0.06,0.15,0.18
AES01,92.58,76.88,59.77,67.48,51.67
AT01,20.24,18.77,12,13.67,17.54
AI36,194.06,170.05,121.04,170.43,352.99
AGL,0.43,1.62,4.75,4.94,8.61
ADP,414.25,492.68,348.42,300.09,354.74
KS18,396.91,48.28,32.1,35.42,1.58
AI79,55.85,37.74,24.92,21.4,17.55
AS27,21.65,16.36,10.93,10.04,14.57
AD,2497.97,2251.17,1914.89,1634.92,1454.25
AI45,6565,6865.27,4316.71,3994.41,4857.59
ADE,260.9,421.06,279.13,561.34,747.9
AE19,382.69,274.51,189.66,191.21,190.93
KIF02,0.05,1.74,1.49,1.47,43.13
UF01,3.34,1.26,0.61,1.29,1.06
AF17,1608.3,1304.36,1103.17,902.29,709.97
AFH01,8.1,17.46,151.6,127.38,131.68
ABC9,218.56,452.71,107.89,199.82,177.78
ABM01,262.96,231.31,190.61,166.66,168.05
ABN01,5041.54,5465.35,8868.06,7950.48,9595.23
AC,0,0.01,0.01,0,0
AO04,75.99,82.07,155.93,238.81,262.89
MST03,28.41,60.35,85.83,331.57,131.39
ABB,8567.53,6864.02,5757.17,7229,6613.36
AI51,5348.73,4919.27,4310.02,4093.14,3678.6
ABC02,189.39,188.1,178.15,161.47,139.54
BE05,0.02,1.54,0.42,1.16,0.77
ABC,145.17,134.77,167.23,220.73,176.99
1-Apr,0.16,0.97,0.98,5.6,1.32
ABG01,16.4,34.17,385.74,1469,2043.53
ATC01,0.48,0.54,0.33,0.33,0.5
ACS04,13.24,6.72,3.25,4.25,3.4
ALF03,43.05,31.5,74.42,30.23,6.28
AC22,16.59,27.17,18.74,18.39,18.39
AF32,0.37,0.68,0.51,0.33,0.71
AI83,22.55,13.25,2.35,0.73,0.06
ABM02,85.37,126.99,128.62,97.71,77.37
ABM,65.65,83.59,73.65,60.27,55.05
ABS,1205.23,1263.47,1040.68,1213.82,1384.52
ACC06,17419.2,15814.4,13784.54,15343.11,14477.47
EM01,1.46,0.85,0.55,0.77,1.53
AT17,155.38,110.86,69.12,1.49,1.1
KAL,411.6,327.17,251.01,251,336.7
AML06,204.19,171.82,136.73,131.38,113.99
AT19,3.04,5.78,39.06,182.18,125.33
AS22,20.15,24.96,39.06,66.87,77.54
AS26,875.65,818.09,365.23,343.97,338.75
ATL03,50.01,190.69,221.4,220.57,276.12
PSF,0.23,0.25,0.06,0.03,0.04
AIS,6.91,8.74,7.66,13.52,5.95
ASE02,8.2,8.07,8.4,7.35,8
AS23,8.2,8.07,8.4,7.35,8
ATW,14.53,14.86,15.45,19.59,19.52
INE02,13.75,30.69,19.9,9.93,9.38
ACG,494.39,268.78,115.7,326.75,413.3
AI68,0.52,0.9,1.23,1.36,1.35
AH09,2.7,4.05,0.27,0.33,0.67
ACI14,3.79,4.3,5.28,4.15,0.53
AK,238.47,217.38,170.07,171.46,164.49
AR9,27.06,4.71,6.14,11.57,7.28
ACE3,2157.99,1630.34,1227.01,1156.2,1342.49
AFS01,4.03,3.45,1.5,1.53,1.66
ACC,200.49,115.08,73.14,147.96,154.49
AMF01,9.15,8.45,9.29,9.84,9.91
AC01,29.97,15.23,31.93,29.73,21.43
AT22,688,739.81,755.23,857.79,832.83
AE13,67324.71,26824.05,13358.73,16208.69,15541.3
ADANI54145,7629,10672,2452,1246.08,318.13
MPS,5237.15,4206.22,4377.15,4643.28,5336.38
